Days ,Mon,Tue,Wed,Thurs,Fri,Sat

8.00-8.30,Math-1,DEC,DEC,,,

8.30-9.00,Math-1,DEC,DEC,,ITWS,

9.00-9.30,Math-1,DEC,DEC,,ITWS,

9.30-10.00,,DEC,DEC,Math-1,ITWS,

10.00-10.30,,,,Math-1,,

10.30-11.00,Comms-2C2,,,Math-1,CP,

11.00-11.30,Comms-2C2,,,,CP,

11.30-12.00,,,,,CP,

12.00-12.30,Break,Break,Break,Break,Break,Break

12.30-1.00,Break,Break,Break,Break,Break,Break

1.00-1.30,,,ITWS,,,

1.30-2.00,,,ITWS,,,KNN
2.00-2.30,,,ITWS,,,KNN
2.30-3.00,DEC-LAB,,,CP,,

3.00-3.30,DEC-LAB,,Comms-2C2,CP,Comms-2C2,

3.30-4.00,DEC-LAB,,Comms-2C2,CP,,

4.00-4.30,DEC-LAB,,,,,

4.30-5.00,DEC-LAB,,KNN,ITWS,,ITWS
5.00-5.30,DEC-LAB,,KNN,ITWS,,ITWS
5.30-6.00,,,,ITWS,,ITWS
