Days ,Mon,Tue,Wed,Thurs,Fri,Sat
8.00-8.30,001+,007+,007+,,,
8.30-9.00,001+,007+,007+,,002+,
9.00-9.30,001+,007+,007+,,002+,
9.30-10.00,,007+,007+,001+,002+,
10.00-10.30,,,,001+,,
10.30-11.00,006+,,,001+,004+,
11.00-11.30,006+,,,,004+,
11.30-12.00,,,,,004+,
12.00-12.30,Break,Break,Break,Break,Break,Break
12.30-1.00,Break,Break,Break,Break,Break,Break
1.00-1.30,,,002+,,,
1.30-2.00,,,002+,,,005+
2.00-2.30,,,002+,,,005+
2.30-3.00,003+,,,004+,,
3.00-3.30,003+,,006+,004+,006+,
3.30-4.00,003+,,006+,004+,,
4.00-4.30,003+,,,,,
4.30-5.00,003+,,005+,002+,,002+
5.00-5.30,003+,,005+,002+,,002+
5.30-6.00,,,,002+,,002+
