Days ,Mon,Tue,Wed,Thurs,Fri,Sat
8.00-8.30,,,012+,010+,,
8.30-9.00,,,012+,010+,,
9.00-9.30,,011+,,010+,,
9.30-10.00,,011+,,,008+,
10.00-10.30,,011+,,,008+,
10.30-11.00,,011+,,,008+,009+
11.00-11.30,,,,,,009+
11.30-12.00,,,,,,009+
12.00-12.30,Break,Break,Break,Break,Break,Break
12.30-1.00,Break,Break,Break,Break,Break,Break
1.00-1.30,014+,012+,,,,
1.30-2.00,014+,012+,011+,,,013+
2.00-2.30,014+,014+,011+,,,013+
2.30-3.00,,014+,011+,,,013+
3.00-3.30,,014+,011+,,,013+
3.30-4.00,012+,,,,,013+
4.00-4.30,012+,,,,,013+
4.30-5.00,,,,,,
5.00-5.30,,,,,,
5.30-6.00,,,,,,
