Days ,Mon,Tue,Wed,Thurs,Fri,Sat
8.00-8.30,,,,015+,018+,019+
8.30-9.00,017+,,,015+,018+,019+
9.00-9.30,017+,,,015+,,
9.30-10.00,017+,,018+,,,
10.00-10.30,017+,,018+,,,
10.30-11.00,,,,,,019+
11.00-11.30,,,,,,019+
11.30-12.00,,,,,,
12.00-12.30,Break,Break,Break,Break,Break,Break
12.30-1.00,Break,Break,Break,Break,Break,Break
1.00-1.30,,,,018+,,
1.30-2.00,,,,018+,,
2.00-2.30,,,019+,,,
2.30-3.00,,,019+,,,
3.00-3.30,,,,,017+,
3.30-4.00,,,,,017+,
4.00-4.30,,016+,015+,,,
4.30-5.00,,016+,015+,,,
5.00-5.30,,,015+,,016+,
5.30-6.00,,,,,016+,
