Days ,Mon,Tue,Wed,Thurs,Fri,Sat

8.00-8.30,,,,ITWS-1,Comms-1C2,Comms-1A
8.30-9.00,DBMS,,,ITWS-1,Comms-1C2,Comms-1A
9.00-9.30,DBMS,,,ITWS-1,,

9.30-10.00,DBMS,,Comms-1C2,,,

10.00-10.30,DBMS,,Comms-1C2,,,

10.30-11.00,,,,,,Comms-1A
11.00-11.30,,,,,,Comms-1A
11.30-12.00,,,,,,

12.00-12.30,Break,Break,Break,Break,Break,Break

12.30-1.00,Break,Break,Break,Break,Break,Break

1.00-1.30,,,,Comms-1C2,,

1.30-2.00,,,,Comms-1C2,,

2.00-2.30,,,Comms-1A,,,

2.30-3.00,,,Comms-1A,,,

3.00-3.30,,,,,DBMS,

3.30-4.00,,,,,DBMS,

4.00-4.30,,Math-3,ITWS-1,,,

4.30-5.00,,Math-3,ITWS-1,,,

5.00-5.30,,,ITWS-1,,Math-3,

5.30-6.00,,,,,Math-3,

